school,date,category,description,details,lat,lng
Vassar College,"
11/14/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP disrupted a talk sponsored by VOICE (Vassar Organizing Israel Conversations Effectively) with Hen Mazzig, by chanting ""From the River to the Sea, Palestine Will Be Free"" [1], holding posters claiming ""Resistance is not Terrorism,"" ""Palestinians are Indigenous"", ""SJP / BDS,"" ""Don't Normalize Zionism,"" [2] and ""Stop Pinkwashing"", as well as by distributing fliers and playing music in front of the auditorium in Rockefeller Hall.
  ",#incident/search/display-by-date/search/details/5dcee5597b9afc0015a72a66?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.686229,-73.8972957
Arizona State University,"
11/14/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP shared a social post by Students for Socialism ASU that bragged about shutting down an IDF event the night before.
  ",#incident/search/display-by-date/search/details/5dcdbf71e62b520016f54aca?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.4242399,-111.9280527
Vassar College,"
11/14/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP released a statement to the community about an upcoming student-sponsored talk with Hen Mazzig that denigrated Mazzig and the pro-Israel student group hosting the event, sought to deter students from attending the event, demonized Israel and Zionism, and promoted BDS.
  ",#incident/search/display-by-date/search/details/5dcdbea10f97640015f146a3?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.686229,-73.8972957
Syracuse University,"
11/14/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was found drawn into the snow just outside the campus.
  ",#incident/search/display-by-date/search/details/5dd2eb0b4246d200154bf7a2?ref=view_279_per_page%3D1000%26view_279_page%3D1,43.0391534,-76.1351158
University of Vermont,"
11/14/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
In response to the advertisement of a Maccabee Task Force-funded, UVM Hillel trip to Israel, SJP published a tweet stating, ""Zionist pussy smells like earring backs, sorry luv that’s science"".
  ",#incident/search/display-by-date/search/details/5de949eb53d77f00153bf3f2?ref=view_279_per_page%3D1000%26view_279_page%3D1,44.4778528,-73.1964637
Yale University,"
11/14/2019
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held a ""General Teach-In,"" where topics of discussion, according to the advertisement for the event, included, ""Israeli Apartheid through Discrimination and Occupation,"" ""Why Some Jews are Anti-Zionists"" and ""BDS and Solidarity"".
  ",#incident/search/display-by-date/search/details/5e1e3029d3144c0015e99b86?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.3163244,-72.92234309999999
University of North Carolina Chapel Hill,"
11/14/2019
  ","
ANTISEMITIC EXPRESSION
  ","
Carolina Young Democratic Socialists and UNC Students for Justice in Palestine held a screening of the film ""Gaza Fights for Freedom,"" [1] a film which contains expression that condones terrorism, denies Jews self-determination, demonizes Israel and promotes BDS [2].
  ",#incident/search/display-by-date/search/details/5e1e2408ea91d1001523078a?ref=view_279_per_page%3D1000%26view_279_page%3D1,35.9049122,-79.0469134
Middlebury College,"
11/14/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
About 25 students protested an event with Ishmael Khaldi, Israel's first Bedouin diplomat, that was co-sponsored by the Jewish Studies Department, the Modern Hebrew Department, the Middle Eastern Studies Department and the Israel Institute.
  ",#incident/search/display-by-date/search/details/5dd6fc4fef52b30015acbfd1?ref=view_279_per_page%3D1000%26view_279_page%3D1,44.0081076,-73.1760413
University of Michigan,"
11/13/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Direct Action for Palestine published an op-ed in the student newspaper that sought to suppress pro-Israel speech on campus, demonized Israel and promoted BDS.
  ",#incident/search/display-by-date/search/details/5dcdb087c31864001521024d?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.277102,-83.735046
Harvard University,"
11/13/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Approximately 100 students silently walked out [1] during a talk [2] with the Consul General of Israel in New York, Dani Dayon, that was hosted by the Julis-Rabinowitz Program on Jewish and Israeli Law at Harvard Law School, while holding signs that read, ""Settlements are a War Crime,"" and ""Israeli Settlements Stolen Land and Water"".
  ",#incident/search/display-by-date/search/details/5dcc7fe13525c500157b9225?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3770029,-71.11666009999999
Arizona State University,"
11/13/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A joint Chabad, JAC and Students Supporting Israel event with injured IDF veterans titled ""Courage and Sacrifice - Israeli Soldiers Speak on Campus"" was disrupted by protesters at the Memorial Union, who initially blocked the event entirely, causing it to be moved [1], and then intimidated participants of the event upon their exit from the new destination [2].
  ",#incident/search/display-by-date/search/details/5dcef2b4ba9fa00015ebee02?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.4242399,-111.9280527
Rhode Island College,"
11/13/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An event sponsored by RIC Chapter of Christians United for Israel (CUFI) and Rhode Island Coalition for Israel (RICI) with Rhode Island State Police Lieutenant Colonel Joseph Philbin was protested by students and faculty, including RIC faculty member Sadhana Bery.
  ",#incident/search/display-by-date/search/details/5dcf0f4d9c26770017b4d4e6?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.84220699999999,-71.461204
University of Massachusetts Boston,"
11/13/2019
  ","
BDS ACTIVITY
  ","
Multiple departments, including Critical Ethnic and Community Studies, Labor Resource Center, Gaston Insistitute, Latinx Studies, Department of Psychology, Women’s Gender and Sexuality Studies, and the Center for Innovative Teaching, co-sponsored the BDS event ""Free Speech and the Palestine Exception: BDS in the Commonwealth"".
  ",#incident/search/display-by-date/search/details/5e3061ccbbe04d001578fa4d?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3144915,-71.0373279
Brown University,"
11/13/2019
  ","
ANTISEMITIC EXPRESSION
  ","
The Center for Middle Eastern Studies, Palestine Studies, Watson Institute and Department of Africana Studies held the event, “Palestine in Black and White: Black-Palestinian Transnational Solidarity” with American University of Beirut Assistant Professor Gregg Burris, where Burris engaged in rhetoric that denied Jews self-determination, demonized Israel and called for BDS.
  ",#incident/search/display-by-date/search/details/5e2a0c937a17920015d44339?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.8267718,-71.4025482
University of Pennsylvania,"
11/13/2019
  ","
ANTISEMITIC EXPRESSION
  ","
According to the ADL, the ""New Jersey European Heritage Association, an alt right group, distributed fliers at the University of Pennsylvania that read: 'Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans,' 'No communism in America,' 'Nationalism not globalism,' and 'Troops to the border'"".
  ",#incident/search/display-by-date/search/details/5e39d2393f76aa00197a8b5a?ref=view_279_per_page%3D1000%26view_279_page%3D1,39.9522188,-75.1932137
University of California Berkeley,"
11/13/2019
  ","
ANTISEMITIC EXPRESSION
  ","
Bears for Palestine held the event ""Life As a Palestinian Refugee & The Right of Return,"" where participants learned ""why the right of return is every Palestinian's priority"".
  ",#incident/search/display-by-date/search/details/5e1cf0528b879b001564dfa9?ref=view_279_per_page%3D1000%26view_279_page%3D1,37.8718992,-122.2585399
Duke University,"
11/13/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A student posted a picture of Duke Israel Public Affairs Committee (DIPAC) on Twitter with images of clown faces superimposed on the DIPAC member's faces.
  ",#incident/search/display-by-date/search/details/5e5d361ccd2bd900154f78b6?ref=view_279_per_page%3D1000%26view_279_page%3D1,36.0014258,-78.9382286
Emory University,"
11/12/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An article by SJP in The Emory Wheel entitled ""Dialogue on Israel-Palestine is Not the Answer"" [1] denigrated pro-Israel students at Emory and demonized Israel.
  ",#incident/search/display-by-date/search/details/5dcc7a2dd1326f0015632abb?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.6208822,-83.8675432
University of Massachusetts Amherst,"
11/12/2019
  ","
ANTISEMITIC EXPRESSION
  ","
An article in the Daily Collegian subtitled ""Anti-Zionism is not Anti-Semitism"" demonized Israel.
  ",#incident/search/display-by-date/search/details/5dcaf1eccc7aee0015ebc400?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3867598,-72.5300515
Arizona State University,"
11/12/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
The Young Democratic Socialists of America - ASU published an ""Open Letter Regarding BDS and Anti-Semitism at ASU"" that denigrated Jewish groups on campus, denied Jews self-determination, demonized Israel and promoted BDS.
  ",#incident/search/display-by-date/search/details/5dcdc53efcb7d200155390c3?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.4242399,-111.9280527
Dickinson College,"
11/12/2019
  ","
ANTISEMITIC EXPRESSION
  ","
“A Resolution To Endorse the Banning of Sabra Hummus from the Devil’s Den” was read in Student Senate in a first reading.
  ",#incident/search/display-by-date/search/details/5de94c263168c00015cb3fa8?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.2028536,-77.1972141
University of Massachusetts Amherst,"
11/12/2019
  ","
ANTISEMITIC EXPRESSION
  ","
The Media Education Foundation and UMass Resistance Studies Initiative held the event “Criminalizing Dissent – The Attack on BDS & American Democracy” [1] with Roger Waters (recorded video message), Omar Barghouti, Cornell West, Dima Khalidi, Shaun King, Tim Wise, Sut Jhally and Linda Sarsour, where speakers espoused rhetoric that denied Jews self-determination, demonized Israel and supported BDS [2-7].
  ",#incident/search/display-by-date/search/details/5deea9980a8c51001563701c?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3867598,-72.5300515
University of Pittsburgh,"
11/12/2019
  ","
ANTISEMITIC EXPRESSION
  ","
SJP screened the film ""The Occupation of the American Mind: Israel's Public Relations War in the United States"".
  ",#incident/search/display-by-date/search/details/5e1e26e939cd12001708a3d6?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.4443533,-79.960835
University of California Santa Barbara,"
11/12/2019
  ","
ANTISEMITIC EXPRESSION
  ","
UCSB Students for Justice in Palestine, Jewish Voice for Peace-Santa Barbara, Santa Barbara Student Activist Network and Santa Barbara Anti War Collective held a screening of the film ""Gaza Fights for Freedom,"" [1] a film which contains expression that condones terrorism, denies Jews self-determination, demonizes Israel and promotes BDS [2].
  ",#incident/search/display-by-date/search/details/5dddbfd98f1b080015f5d95e?ref=view_279_per_page%3D1000%26view_279_page%3D1,34.4139629,-119.848947
Brown University,"
11/12/2019
  ","
BDS ACTIVITY
  ","
According to The Advisory Committee on Corporate Responsibility in Investment Policies (ACCRIP),  a group of Brown students gave an anti-Divest presentation to ACCRIP, and ACCRIP members proposed next steps that included discussing the Brown Divest and Anti-Divest presentations, and initial voting to determine if the issue mentioned in the Divest proposal constitutes social harm.
  ",#incident/search/display-by-date/search/details/5e67f4aa2d2a8d0016ab3578?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.8267718,-71.4025482
Columbia University/Barnard College,"
11/11/2019
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Palestine Awareness Week,"" SJP held the event ""Palestine & BDS 101,"" whose advertisement stated that participants would ""learn about the history of Palestine, the Boycott, Divestment, and Sanctions movement (BDS), and our campaign that calls on Columbia to divest its stocks, funds, and endowment from companies that profit from Israeli apartheid, the illegal occupation and colonization of land, and violations of Palestinian human rights"".
  ",#incident/search/display-by-date/search/details/5e1b65d3bbd21700162cc58a?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.8090051,-73.9637853
Bard College,"
11/11/2019
  ","
ANTISEMITIC EXPRESSION
  ","
Bard's Middle Eastern Studies Program, Human Rights Program, and Global and International Studies Program co-hosted the event ""Citizenship as Domination: Settler Colonialism and the Making of Palestinian Citizenship in Israel"" with speaker Lana Tatour of Columbia's Center for Palestine Studies.
  ",#incident/search/display-by-date/search/details/5e1f4998f0f0f2001518d279?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.0203897,-73.91005439999999
University of Massachusetts Amherst,"
11/09/2019
  ","
ANTISEMITIC EXPRESSION
  ","
The Amherst Bulletin published a pro-BDS op-ed by Western Mass Jewish Voice for Peace that denounced a previous anti-BDS statement by the chancellor.
  ",#incident/search/display-by-date/search/details/5dc99ea16f416e00176131eb?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3867598,-72.5300515
University of Georgia,"
11/09/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A Jewish student returned to her dorm room in Russell Hall to find a swastika drawn on laminated name tags on her door, as well as on other doors [1].
  ",#incident/search/display-by-date/search/details/5dd6d234895384001949071a?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.9417438,-83.37290120000002
George Washington University,"
11/08/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
JVP at GW issued a statement that denigrated a pro-Israel group on campus as well as the ADL and demonized Israel and Zionism.
  ",#incident/search/display-by-date/search/details/5dcc843727bc7000162c598a?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.8998251,-77.0481763
Bellevue College,"
11/08/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
According to the ADL, ""Swastika vandalism [was] discovered in a men's bathroom at Bellevue College"".
  ",#incident/search/display-by-date/search/details/5e39ccac289e6a0018861a03?ref=view_279_per_page%3D1000%26view_279_page%3D1,47.58430380000001,-122.1494195
University of Texas Austin,"
11/07/2019
  ","
ANTISEMITIC EXPRESSION
  ","
Palestine Solidarity Committee - Austin, Texas held a screening of the film ""Gaza Fights for Freedom,"" [1] a film featuring speakers who condoned terrorism, demonized Israel and promoted BDS [2].
  ",#incident/search/display-by-date/search/details/5ddd9d76a88f0d0016709c7c?ref=view_279_per_page%3D1000%26view_279_page%3D1,30.2859399,-97.7317405
Wheaton College,"
11/07/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was found drawn on a white board hanging on a dorm room door in Pine Hall, where a Jewish student lives.
  ",#incident/search/display-by-date/search/details/5dcc3ebd6b99d10015f7968b?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.8685058,-88.0996112
University of Illinois Urbana Champaign,"
11/07/2019
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event “Balfour 102 Vigil,” [1] where student speakers denied Jews self-determination and demonized Israel and Zionism [2].
  ",#incident/search/display-by-date/search/details/5de551dab340d9001988454c?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.1019523,-88.2271615
San Francisco State University,"
11/07/2019
  ","
ANTISEMITIC EXPRESSION
  ","
General Union of Palestine Students-GUPS at SFSU and AMED Studies at SFSU held the event ""12th Annual Edward Said Mural Celebration,"" where the description for the event supported the Palestinian right of return, which would effectively eliminate Israel a a Jewish state.
  ",#incident/search/display-by-date/search/details/5e1ce410ecc1cd0018a5c521?ref=view_279_per_page%3D1000%26view_279_page%3D1,37.7241492,-122.4799405
Butler University,"
11/06/2019
  ","
ANTISEMITIC EXPRESSION
  ","
The Gender, Women and Sexuality Studies, SGA's Diversity, Inclusion and Equity Board, and SJP held the event, ""Stephanie Skora - Pinkwashing,"" where the event's flier stated, ""Stop Pinkwashing Israeli Apartheid"".
  ",#incident/search/display-by-date/search/details/5dc30809c0f59e0015d46d80?ref=view_279_per_page%3D1000%26view_279_page%3D1,39.8405491,-86.1708927
Wayne State University,"
11/06/2019
  ","
ANTISEMITIC EXPRESSION
  ","
SJP released a statement [1] to the community that demonized Israel, following fliers and a mock newspaper distributed throughout campus [2] that accused SJP of antisemitism.
  ",#incident/search/display-by-date/search/details/5dc5f7ded17c8c00164e5f3d?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3608378,-83.0696835
Stanford University,"
11/06/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
The Coalition of Concerned Students released a flier [1] announcing a protest of an upcoming event featuring conservative Jewish speaker Ben Shapiro, that depicted Shapiro as an insect that needed to be exterminated with a ""Ben B Gon"" bug spray, which the group later admitted [2], ""plays into anti-Semitic tropes"".
  ",#incident/search/display-by-date/search/details/5dc45ecfbf33970015e8e80c?ref=view_279_per_page%3D1000%26view_279_page%3D1,37.4274745,-122.169719
Butler University,"
11/05/2019
  ","
ANTISEMITIC EXPRESSION
  ","
SJP issued a press release about an upcoming event on ""pinkwashing"".
  ",#incident/search/display-by-date/search/details/5dc3070580da7a00155ac49a?ref=view_279_per_page%3D1000%26view_279_page%3D1,39.8405491,-86.1708927
Arizona State University,"
11/05/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
The student newspaper, State Press, published an op-ed titled, ""ASU Clubs should sign Pro-Palestine BDS resolution"" that targeted the campus pro-Israel club for discrimination and demonized Israel.
  ",#incident/search/display-by-date/search/details/5dc2f7d07d2a1900170d83b4?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.4242399,-111.9280527
University of Chicago,"
11/05/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP and a number of other organizations published an open letter that accused the Institute of Politics of engaging in the ""dissemination of pro-Israeli propaganda, pinkwashing—employing a false rhetoric of Israeli LGBTQ+ acceptance to forgive the daily violence of military occupation"" for it's Instagram promotion of a Dennis Ross event.
  ",#incident/search/display-by-date/search/details/5dc1cff6fa7664001557b14f?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.7886079,-87.5987133
Northwestern University,"
11/05/2019
  ","
BDS ACTIVITY
  ","
An article in the student newspaper claimed that ""Northwestern’s chapter of Students for Justice in Palestine is reckoning with various administrators’ pro-Zionist stances,"" and that ""given the 2015 resolution passed by majority vote, it should be understood that many students stand for anti-Zionist and pro-Boycott, Divestment, Sanctions ideals until proven otherwise"" as well as that SJP is ""working with Jewish students, making sure that the distinction between anti-Zionism and anti-Semitism is clear"".
  ",#incident/search/display-by-date/search/details/5dc1c3bc6bf4e1001539a737?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.0472222,-87.6758333
CSU Chico,"
11/05/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A Chico Hillel event with Neil Lazarus, sponsored by Hillel International, Zionist Organization of America and Associated Students, was disrupted by anti-Zionist protesters who were members of Students for Quality Education.
  ",#incident/search/display-by-date/search/details/5dc5ad3d7b3b2e001508482f?ref=view_279_per_page%3D1000%26view_279_page%3D1,,
Wesleyan University,"
11/05/2019
  ","
BDS ACTIVITY
  ","
JVP held the BDS event ""Divest! Why Include Israel"".
  ",#incident/search/display-by-date/search/details/5e1e2eb4cf8f8500156307aa?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.5566104,-72.65690409999999
University of Massachusetts Boston,"
11/04/2019
  ","
ANTISEMITIC EXPRESSION
  ","
Forty-two UMass Boston faculty members signed a letter to UMass Amherst Chancellor Subbaswamy denouncing his statement against a pro-BDS event on his campus.
  ",#incident/search/display-by-date/search/details/5dc33578131f1a0015ddf894?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3144915,-71.0373279
Indiana University,"
11/04/2019
  ","
ANTISEMITIC EXPRESSION
  ","
The Center for the Study of the Middle East published a demonizing cartoon in the Center's newsletter in promotion of the Palestine Solidarity Committee event “Suppression of Free Speech on Palestinian Human Rights at IU and Beyond” [1].
  ",#incident/search/display-by-date/search/details/5dc986b49c3e2b0015fbf099?ref=view_279_per_page%3D1000%26view_279_page%3D1,39.1754487,-86.512627
Allan Hancock College,"
11/04/2019
  ","
ANTISEMITIC EXPRESSION
  ","
According to the ADL, ""Fliers that read 'Zionists are shooting, gassing, and killing Palestinians' were posted around campus at Hancock College"".
  ",#incident/search/display-by-date/search/details/5e39d57e84047000188f579a?ref=view_279_per_page%3D1000%26view_279_page%3D1,34.9446133,-120.4189337
Princeton University,"
11/04/2019
  ","
ANTISEMITIC EXPRESSION
  ","
According to the ADL, the ""New Jersey European Heritage Association, an alt right group, distributed fliers at Princeton University that read: 'Reclaim your nation reclaim your heritage,' 'Duty Calls,' and 'Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans'"".
  ",#incident/search/display-by-date/search/details/5e39d2d6018151001880071e?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.3430942,-74.65507389999999
Arizona State University,"
11/04/2019
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held a film screening of ""Imprisoning a Generation,"" which was advertised as ""A story of Palestinian child prisoners in Israel's apartheid jails"".
  ",#incident/search/display-by-date/search/details/5db33a2f70547f00164f6248?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.4242399,-111.9280527
George Washington University,"
11/03/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A student posted [1] a Snapchat video of herself exclaiming, ""[W]e're going to f*cking bomb Israel"" and ""Jewish pieces of sh*t"", which was brought to the attention of the university [2] by other students.
  ",#incident/search/display-by-date/search/details/5dc45d5159c87c001555a501?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.8998251,-77.0481763
Arizona State University,"
11/03/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Folks Front Fliers saying ""Love Not Hate,"" where a swastika replaced the ""o"" in ""Love"" and a Jewish star replaced the ""a"" in ""Hate,"" were found throughout campus along with other fliers referencing the ""fatherland"" that were headlined ""love your folk"".
  ",#incident/search/display-by-date/search/details/5dc1cd9575c211001868a7a4?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.4242399,-111.9280527
Bryn Mawr College,"
11/03/2019
  ","
ANTISEMITIC EXPRESSION
  ","
According to the ADL, the ""New Jersey European Heritage Association, an alt right group, distributed fliers at Bryn Mawr College that read: 'Reclaim your nation reclaim your heritage,' 'America belongs to Americans,' 'Report illegal aliens they are criminal invaders,' and 'Remember the USS Liberty' [which the group claims to be an 'Israeli attack on America' in other fliers]"".
  ",#incident/search/display-by-date/search/details/5e39d41f5eacb00016431157?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.0278802,-75.3144595
Eastern Florida State College,"
11/01/2019
  ","
ANTISEMITIC EXPRESSION
  ","
According to the ADL, the ""New Jersey European Heritage Association, an alt right group, distributed stickers at Eastern Florida State College that read: 'End all immigration,' 'Open borders for Israel,' 'Multi-culturalism has failed,' and 'Remember the USS Liberty 1967 Israeli attack against America'"".
  ",#incident/search/display-by-date/search/details/5e4c37f4fe5ffd0017cd4ae9?ref=view_279_per_page%3D1000%26view_279_page%3D1,28.3839968,-80.7586436
University of Central Florida,"
11/01/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Fliers posted throughout campus bearing the headline ""Florida Jews Attack Campus Free Speech"" claimed that a bill against antisemitism that recently passed in the state legislature would ""restrict legitimate criticism of Israel and the role of Jews in the United States.
  ",#incident/search/display-by-date/search/details/5dc058fc5c08920019656382?ref=view_279_per_page%3D1000%26view_279_page%3D1,28.6024274,-81.2000599
Harvard University,"
11/01/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
The Harvard College Palestine Solidarity Committee sent an email through house and student group email lists that urged undergraduates to boycott Israel Trek, claiming there is ""a brutal occupation of Palestinians"" occurring and ""by going on this trip, you will be complicit in the whitewashing of these human rights violations against the Palestinians"".
  ",#incident/search/display-by-date/search/details/5dc5a0677406260015307a17?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3770029,-71.11666009999999
Brookhaven College,"
11/01/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
According to the ADL, ""Swastika vandalism [was] discovered on a walking trail at Brookhaven Community College"".
  ",#incident/search/display-by-date/search/details/5e39d65ee5a2a300150f7b73?ref=view_279_per_page%3D1000%26view_279_page%3D1,32.9303408,-96.8466162
University of Texas Austin,"
10/31/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Palestinian Solidarity Committee and Palestinian Youth Movement (PYM) held the event “Borders,Walls & Murals” with Rabab Abdulhadi, Jaime Veve and Saliem Shehadeh [1], which included expression that denigrated and discriminated against Zionists and Zionist groups at SFSU, denied Jews self-determination,  demonized Israel and Zionism, and promoted BDS [2-4].
  ",#incident/search/display-by-date/search/details/5dcdb391ca42720017b7c619?ref=view_279_per_page%3D1000%26view_279_page%3D1,30.2859399,-97.7317405
University of Massachusetts Amherst,"
10/30/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Five swastikas were found drawn in chalk on the walls of the Fine Arts Center.
  ",#incident/search/display-by-date/search/details/5dbb0af2c3a9450016883a52?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3867598,-72.5300515
University of Massachusetts Amherst,"
10/30/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP released an open letter to the chancellor in opposition to his statement denouncing an upcoming pro-BDS event with expressions that demonized Israel and supported BDS [1].
  ",#incident/search/display-by-date/search/details/5db9f48951c0ab00151ebc28?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3867598,-72.5300515
Cornell University,"
10/30/2019
  ","
ANTISEMITIC EXPRESSION
  ","
At a Hillel event co-sponsored by the Department of Near Eastern Studies and the Institute for Peace and Conflict Studies, an audience member identified themselves as a student member of the campus JVP chapter and claimed that the ""nation-state law"" has ""officially codified Israel as an apartheid regime"".
  ",#incident/search/display-by-date/search/details/5e0391f968aae3001547f93b?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.4534492,-76.4735027
University of Southern California,"
10/30/2019
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event “Make Hummus Not Walls,” whose advertisement stated, ""Join us as we make (and eat) fresh hummus and discuss the Palestinian BDS movement and its contribution to our fight against colonization and apartheid"".
  ",#incident/search/display-by-date/search/details/5e1e28c0504d7800169d9fb8?ref=view_279_per_page%3D1000%26view_279_page%3D1,34.0223519,-118.285117
University of Massachusetts Amherst,"
10/29/2019
  ","
BDS ACTIVITY
  ","
Over 130 UMass Amherst faculty members [1] signed [2] a letter to Chancellor Subbaswamy that condemned his statement opposing an upcoming pro-BDS event, saying his statement ""misrepresent[s] the BDS movement"".
  ",#incident/search/display-by-date/search/details/5dc3389418079a001634b755?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3867598,-72.5300515
Harvard University,"
10/29/2019
  ","
ANTISEMITIC EXPRESSION
  ","
The Radcliffe Institute for Advanced Study hosted the event “Radical Commitments: The Life and Legacy of Angela Davis,” where a session titled “Revolution” included demonizing remarks made by one of its speakers, UCLA Professor Robin Kelley.
  ",#incident/search/display-by-date/search/details/5e209cc02434cc001612c7f8?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3770029,-71.11666009999999
Tulane University,"
10/28/2019
  ","
ANTISEMITIC EXPRESSION
  ","
Three former JVP members, who are now involved with SJP, published an article in the Tulane Hullabaloo that demonized Israel and Zionism and denied Jews self-determination [1].
  ",#incident/search/display-by-date/search/details/5db9bb229ba3320018ff20c2?ref=view_279_per_page%3D1000%26view_279_page%3D1,29.9407282,-90.12031669999999
New York University,"
10/28/2019
  ","
ANTISEMITIC EXPRESSION
  ","
JVP and SJP held the event, ""Zionism 101"" where the description for the event demonized Israel [1].
  ",#incident/search/display-by-date/search/details/5db8a02c5b55af001539cc55?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.7381644,-73.97821569999999
Bellevue College,"
10/28/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
In what appears to be a premeditated incident, a swastika and an ‘X’ were scratched with a key into a car belonging to a Jewish visitor to campus who had only come to the campus for that one day.
  ",#incident/search/display-by-date/search/details/5dcc3ce7a84fe00015a7140d?ref=view_279_per_page%3D1000%26view_279_page%3D1,47.58430380000001,-122.1494195
Wheaton College,"
10/27/2019
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika and derogatory words against women were discovered on a dry erase board in a common area on the third floor of Pine Hall.
  ",#incident/search/display-by-date/search/details/5dcc3f1ea84fe00015a71630?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.8685058,-88.0996112
