school,date,category,description,details,lat,lng
San Francisco State University,"
04/08/2020
  ","
ANTISEMITIC EXPRESSION
  ","
AMED held the event ""State Repression, Pinkwashing, and Queer-Feminist Resistance"" with Rabab Abdulhadi and Tomomi Kinukawa, whose advertisement claimed the event would ""compare Israeli tactics of pinkwashing in Tokyo"" and ""challenge Israel’s and Japan’s settler-colonial epistemic violence"" as well as discuss ""state-sanctioned attacks in the time of Covid19, in solidarity with Palestine, Chinese American, Zainichi Korean, and other Asian communities"".
  ",#incident/search/display-by-date/search/details/5eb1b5c722a32b0017d9a3eb?ref=view_279_per_page%3D1000%26view_279_page%3D1,37.7241492,-122.4799405
University of Massachusetts Amherst,"
04/05/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
In response to a UMass Mishelanu and UMass Black Student Union (BSU) co-sponsored event titled, ""A Talk with An Ethopian Israeli,"" SJP issued a statement that denigrated the speaker and demonized Israel in order to ""unequivocally reject any effort to normalize the Israeli state as anything other than a settler-colonial project"".
  ",#incident/search/display-by-date/search/details/5e8a37621bcd040015eb64d7?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3867598,-72.5300515
University of Miami,"
04/03/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
During an online Shabbat service through University of Miami Hillel, in the middle of a prayer [1], hackers ""Zoombombed"" the service, shouting antisemitic slurs and engaging in pornographic acts [2].
  ",#incident/search/display-by-date/search/details/5e8cd3bbf10d770016754742?ref=view_279_per_page%3D1000%26view_279_page%3D1,25.7202106,-80.2764424
Rutgers University - Newark,"
04/02/2020
  ","
BDS ACTIVITY
  ","
SJP endorsed a student government candidate in a statement that expressed how the candidate ""has showed immense concern for the Palestinian cause and we believe that he will use his platform to further work on Rutgers-Newark’s BDS referendum and support our ongoing Justice for Palestine mission"".
  ",#incident/search/display-by-date/search/details/5e9de716ad5b620018d1c9e3?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.741078,-74.1732736
"University of Florida, Gainesville","
04/02/2020
  ","
ANTISEMITIC EXPRESSION
  ","
Hackers accessed a Zoom webinar on the COVID-19 virus hosted by the Dana-Farber Cancer Institute, which, according to the student newspaper, was ""Zoombombed"" by hackers who wrote racist and antisemitic comments in the chat feature.
  ",#incident/search/display-by-date/search/details/5e94acbb537f81001838a278?ref=view_279_per_page%3D1000%26view_279_page%3D1,29.6436325,-82.3549302
Yeshiva University,"
03/31/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A Zoom-platform speech [1] to the student body from President Ari Berman experienced antisemitic ""Zoombombing"" when white supremacists displayed [2] degrading caricatures of Jews, a message that ""The Holocaust Never Happened,"" as well as comments of ""Shut the F*ck Up Jews"", ""Hail [sic] Hitler"", and ""Imma Gas Yall [I'm going to gas you all]"".
  ",#incident/search/display-by-date/search/details/5e84b7af30136b0016139450?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.8496462,-73.9292208
Columbia University/Barnard College,"
03/31/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was drawn on the wall of the 16th-floor hallway in East Campus of the Columbia College and School of Engineering and Applied Science on two separate occasions in a week [1].
  ",#incident/search/display-by-date/search/details/5e84c22d724ec300151e9ca7?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.8090051,-73.9637853
University of Illinois Urbana Champaign,"
03/31/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Three online ""I-Connect"" meetings attended by hundreds of students was subjected to antisemitic ""zoombombing"" [1] when individuals [2] displayed swastikas and shouted ""Guys, shut the f*ck up,"" among other profanities as well as racial epithets and chanted ""Heil Hitler"".
  ",#incident/search/display-by-date/search/details/5e83750a93b2ae001510c5fc?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.1019523,-88.2271615
Yale University,"
03/31/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A rabbi who is the Jewish life adviser of the Chabad branch at Yale University was violently assaulted and robbed by two teen-aged boys while standing outside of the Yale Chabad House [1].
  ",#incident/search/display-by-date/search/details/5e8b7ba7852de30018e2cd85?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.3163244,-72.92234309999999
"University of Florida, Gainesville","
03/31/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A UF Student Government meeting was ""Zoombombed"" with racist messages, swastikas, pornography and death threats [1].
  ",#incident/search/display-by-date/search/details/5e8ccabdd6ae3800181b555e?ref=view_279_per_page%3D1000%26view_279_page%3D1,29.6436325,-82.3549302
Harvard University,"
03/19/2020
  ","
BDS ACTIVITY
  ","
An article in The Harvard Crimson titled ""Harvard Invests Almost $200 Million in Companies UN List Tied to Israeli Settlements"" quoted a Tufts student expressing support for BDS and saying, ""There are plenty of other investment options that do not necessitate complicity and oppression"" and that ""the question is, is Harvard going to be a principled institution or not"".
  ",#incident/search/display-by-date/search/details/5e73afbbef7fea00153ee6c8?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3770029,-71.11666009999999
Florida State University,"
03/11/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
In a Facebook posting encouraging its members to attend a student government meeting to protest student senators who had attended an AIPAC conference, SJP used denigrating and demonizing language.
  ",#incident/search/display-by-date/search/details/5e6920b42e7be900178348e0?ref=view_279_per_page%3D1000%26view_279_page%3D1,30.4418778,-84.2984889
Florida State University,"
03/11/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP posted to social media an image of Zionist Organization of America (ZOA) members tabling on campus with a denigrating caption that read, ""‪ZOA is a right-wing, Islamophobic org that platforms racists like Steve Bannon, Sean Spicer and Laura Loomer.
  ",#incident/search/display-by-date/search/details/5e691f62935fca001514f291?ref=view_279_per_page%3D1000%26view_279_page%3D1,30.4418778,-84.2984889
Brown University,"
03/11/2020
  ","
ANTISEMITIC EXPRESSION
  ","
Brown Divest organized a display on the Main Green that included over a hundred red flags and a big sign declaring, ""Each flag represents a Palestinian that was murdered by the Israeli government since we have called on Brown to DIVEST"".
  ",#incident/search/display-by-date/search/details/5e691da46351170015a288c6?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.8267718,-71.4025482
Johns Hopkins University,"
03/11/2020
  ","
ANTISEMITIC EXPRESSION
  ","
Hopkins SJP issued a statement ""on freedom of expression of students at JHU"" that included demonizing remarks.
  ",#incident/search/display-by-date/search/details/5e692f30a55fd100153cb954?ref=view_279_per_page%3D1000%26view_279_page%3D1,39.3299013,-76.6205177
